Date,Open,High,Low,Close,Volume,Change
14-Oct-22,88.35,90.5,87.7,87.99,"69,000",0.25
17-Oct-22,87.51,87.68,86,86.47,"23,000",-1.52
18-Oct-22,87.25,87.25,86.5,86.58,"14,500",0.11
19-Oct-22,86.59,87.1,86.5,86.53,"9,500",-0.05
20-Oct-22,86.5,89,86.1,86.53,"40,500",0
21-Oct-22,86.11,87.5,83.11,85.6,"47,500",-0.93
24-Oct-22,87.77,87.79,84.6,85,"31,500",-0.6
25-Oct-22,84.61,86,83.5,83.78,"25,000",-1.22
26-Oct-22,83,83,78.99,79.09,"31,500",-4.69
27-Oct-22,80.4,81,76.55,77.57,"45,500",-1.52
28-Oct-22,77,77.75,75.7,76.08,"19,000",-1.49
31-Oct-22,77,77.95,76.03,76.54,"13,500",0.46
01-Nov-22,77.99,79.8,77.5,78.23,"90,500",1.69
02-Nov-22,79.45,84.09,78.75,84.09,"92,000",5.86
03-Nov-22,87.49,87.99,82,83.11,"125,500",-0.98
04-Nov-22,81.05,83.5,81,81.55,"44,500",-1.56
07-Nov-22,82,83.5,81,81.3,"20,500",-0.25
08-Nov-22,81.55,82.89,75.25,77.25,"82,000",-4.05
10-Nov-22,77.99,83,77.25,80.38,"100,000",3.13
11-Nov-22,81,81.49,78.98,79.47,"36,000",-0.91
14-Nov-22,80,80,78,78.68,"24,500",-0.79
15-Nov-22,78.08,84.58,78,84.58,"138,500",5.9
16-Nov-22,86,86.8,81.5,82.01,"171,500",-2.57
17-Nov-22,81.15,81.99,79.5,79.88,"47,500",-2.13
18-Nov-22,78.5,79.49,78.2,78.78,"34,500",-1.1
21-Nov-22,77.7,82.5,77.7,80.37,"76,500",1.59
22-Nov-22,81.95,82.29,80,80.27,"41,500",-0.1
23-Nov-22,81.99,86.29,81.99,86.29,"376,000",6.02
24-Nov-22,87.48,92.76,87.48,92.76,"147,000",6.47
25-Nov-22,99.7,99.71,99.7,99.71,"75,500",6.95
28-Nov-22,99.5,101.75,92.24,92.43,"635,000",-7.28
29-Nov-22,90.5,92,86.6,87.57,"288,500",-4.86
30-Nov-22,87.5,94.13,87.5,94.13,"96,500",6.56
01-Dec-22,101.18,101.18,96.51,97.3,"604,000",3.17
02-Dec-22,97.25,100.2,94.32,95.95,"191,000",-1.35
05-Dec-22,95.11,95.11,88.88,89.33,"96,500",-6.62
06-Dec-22,89.33,95.5,89.33,93.76,"163,000",4.43
07-Dec-22,93.9,96.8,93.2,94.05,"125,000",0.29
08-Dec-22,95.39,95.39,92.5,93,"64,000",-1.05
09-Dec-22,92,93.75,91.5,92.14,"38,000",-0.86
12-Dec-22,90.15,90.9,89.5,89.61,"65,500",-2.53
13-Dec-22,89.01,90.5,88.8,89.04,"31,000",-0.57
14-Dec-22,88.6,91,87.5,88.84,"51,000",-0.2
15-Dec-22,90.99,91.9,85.25,89.07,"93,000",0.23
16-Dec-22,90,90,87,87.96,"43,000",-1.11
19-Dec-22,88,88,84.05,84.99,"50,500",-2.97
20-Dec-22,84.15,84.15,80,80.65,"86,000",-4.34
21-Dec-22,80.65,82.4,79.2,79.92,"30,500",-0.73
22-Dec-22,80,83.97,80,82.82,"32,000",2.9
23-Dec-22,83,85.1,81,81.91,"36,000",-0.91
26-Dec-22,83.5,88.05,83.5,88.05,"118,500",6.14
27-Dec-22,89.9,92.5,88.05,89.18,"139,000",1.13
28-Dec-22,90.5,90.64,86.1,86.91,"57,000",-2.27
29-Dec-22,86.5,87.88,83,84.49,"37,000",-2.42
30-Dec-22,85,86.4,81.6,82.79,"35,500",-1.7
02-Jan-23,83.39,85.69,83.39,85,"34,500",2.21
03-Jan-23,85.1,85.1,83.53,84,"14,500",-1
04-Jan-23,85,90.3,85,90.3,"148,000",6.3
05-Jan-23,92.5,97.07,91.94,97.07,"358,500",6.77
06-Jan-23,97.5,98.5,91.55,92.3,"137,500",-4.77
09-Jan-23,92.09,93.5,87.58,88.29,"56,500",-4.01
10-Jan-23,90.48,92.99,90.11,91.63,"32,000",3.34
11-Jan-23,91.99,92.99,89.5,91.19,"30,500",-0.44
12-Jan-23,91.19,98,91.1,95.04,"161,000",3.85
13-Jan-23,91,94.5,91,92.18,"47,500",-2.86
16-Jan-23,92,92.18,89,89.48,"20,500",-2.7
17-Jan-23,90.98,90.98,82.77,83.02,"107,500",-6.46
18-Jan-23,83,85.5,82,84.67,"51,000",1.65
19-Jan-23,85.95,91.02,85.95,89.42,"142,000",4.75
20-Jan-23,88.26,89.5,85.25,86.64,"23,500",-2.78
23-Jan-23,83.75,89.62,83.75,88.73,"46,000",2.09
24-Jan-23,88.73,90.99,88.55,89.4,"27,500",0.67
25-Jan-23,89.4,93,89,91.65,"76,500",2.25
26-Jan-23,91.65,93.98,91.5,92.91,"36,000",1.26
27-Jan-23,91,91.45,88.1,90.24,"30,500",-2.67
30-Jan-23,92.24,92.24,87.11,88.24,"6,500",-2
31-Jan-23,90.39,91,87.55,89.08,"37,500",0.84
01-Feb-23,89.08,89.6,88.25,88.95,"11,500",-0.13
